zip_code,city_name,state
73442,Loco,Oklahoma
53406,Racine,Wisconsin
74956,Shady Point,Oklahoma
4238,Hebron,Maine
36617,Mobile,Alabama
68003,Ashland,Nebraska
73530,Davidson,Oklahoma
55550,Young America,Minnesota
49087,Schoolcraft,Michigan
10458,Bronx,New York
98160,Seattle,Washington
26711,Capon Bridge,West Virginia
12741,Hankins,New York
49734,Gaylord,Michigan
13403,Marcy,New York
37737,Friendsville,Tennessee
37074,Hartsville,Tennessee
42054,Kirksey,Kentucky
19063,Media,Pennsylvania
68787,Wayne,Nebraska
80468,Parshall,Colorado
86515,Window Rock,Arizona
70006,Metairie,Louisiana
19035,Gladwyne,Pennsylvania
16040,Hilliards,Pennsylvania
60192,Hoffman Estates,Illinois
61936,La Place,Illinois
3598,Whitefield,New Hampshire
12529,Hillsdale,New York
24088,Ferrum,Virginia
44313,Akron,Ohio
28302,Fayetteville,North Carolina
99123,Electric City,Washington
28779,Sylva,North Carolina
5735,Castleton,Vermont
49322,Coral,Michigan
80533,Hygiene,Colorado
13669,Ogdensburg,New York
89117,Las Vegas,Nevada
8540,Princeton,New Jersey
7440,Pequannock,New Jersey
12443,Hurley,New York
10543,Mamaroneck,New York
53102,Benet Lake,Wisconsin
62546,Morrisonville,Illinois
23032,Church View,Virginia
30752,Trenton,Georgia
16512,Erie,Pennsylvania
33955,Punta Gorda,Florida
44666,North Lawrence,Ohio
75163,Trinidad,Texas
30263,Newnan,Georgia
43438,Kelleys Island,Ohio
67623,Alton,Kansas
10452,Bronx,New York
21282,Pikesville,Maryland
43217,Columbus,Ohio
60664,Chicago,Illinois
17949,Mahanoy Plane,Pennsylvania
63558,New Cambria,Missouri
52229,Garrison,Iowa
72006,Augusta,Arkansas
14083,Java Village,New York
87937,Hatch,New Mexico
50525,Clarion,Iowa
68940,Funk,Nebraska
76557,Moody,Texas
94956,Point Reyes Station,California
72635,Gassville,Arkansas
70452,Pearl River,Louisiana
55413,Minneapolis,Minnesota
6883,Weston,Connecticut
60565,Naperville,Illinois
57354,Kaylor,South Dakota
18333,Kresgeville,Pennsylvania
19946,Frederica,Delaware
25301,Charleston,West Virginia
22967,Roseland,Virginia
63069,Pacific,Missouri
90241,Downey,California
95894,Sacramento,California
57047,Monroe,South Dakota
12122,Middleburgh,New York
54853,Luck,Wisconsin
1923,Danvers,Massachusetts
76569,Rogers,Texas
48360,Lake Orion,Michigan
74011,Broken Arrow,Oklahoma
32808,Orlando,Florida
21215,Baltimore,Maryland
78246,San Antonio,Texas
67060,Haysville,Kansas
72520,Camp,Arkansas
60137,Glen Ellyn,Illinois
27873,Saratoga,North Carolina
46322,Highland,Indiana
89067,Moapa,Nevada
34712,Clermont,Florida
25639,Peach Creek,West Virginia
49614,Bear Lake,Michigan
34488,Silver Springs,Florida
4478,Rockwood,Maine
56484,Walker,Minnesota
35487,Tuscaloosa,Alabama
32932,Cocoa Beach,Florida
28460,Sneads Ferry,North Carolina
78071,Three Rivers,Texas
51540,Hastings,Iowa
59703,Butte,Montana
92092,La Jolla,California
94580,San Lorenzo,California
45270,Cincinnati,Ohio
62070,Mozier,Illinois
5648,Calais,Vermont
91603,North Hollywood,California
99001,Airway Heights,Washington
75496,Wolfe City,Texas
52731,Charlotte,Iowa
73527,Cache,Oklahoma
14127,Orchard Park,New York
43935,Martins Ferry,Ohio
66431,Harveyville,Kansas
62816,Bonnie,Illinois
31560,Screven,Georgia
16212,Cadogan,Pennsylvania
22987,White Hall,Virginia
16731,Eldred,Pennsylvania
49444,Muskegon,Michigan
29669,Pelzer,South Carolina
45214,Cincinnati,Ohio
85728,Tucson,Arizona
32123,Port Orange,Florida
14892,Waverly,New York
15935,Hollsopple,Pennsylvania
55791,Twig,Minnesota
74368,Twin Oaks,Oklahoma
20015,Washington,District of Columbia
63860,Kewanee,Missouri
55113,Saint Paul,Minnesota
61542,Lewistown,Illinois
80744,Ovid,Colorado
31202,Macon,Georgia
13120,Nedrow,New York
84712,Antimony,Utah
95567,Smith River,California
71315,Alexandria,Louisiana
36263,Graham,Alabama
13364,Leonardsville,New York
37236,Nashville,Tennessee
74458,Redbird,Oklahoma
55431,Minneapolis,Minnesota
62361,Pearl,Illinois
32772,Sanford,Florida
78721,Austin,Texas
92252,Joshua Tree,California
37680,Laurel Bloomery,Tennessee
47683,Somerville,Indiana
33348,Fort Lauderdale,Florida
29819,Bradley,South Carolina
75604,Longview,Texas
91724,Covina,California
29661,Marietta,South Carolina
55796,Winton,Minnesota
61336,Magnolia,Illinois
92389,Tecopa,California
77532,Crosby,Texas
37342,Hillsboro,Tennessee
66647,Topeka,Kansas
24062,Blacksburg,Virginia
36548,Leroy,Alabama
67101,Maize,Kansas
7103,Newark,New Jersey
71432,Georgetown,Louisiana
48161,Monroe,Michigan
52146,Harpers Ferry,Iowa
3230,Danbury,New Hampshire
15905,Johnstown,Pennsylvania
87327,Zuni,New Mexico
84510,Aneth,Utah
32139,Georgetown,Florida
23060,Glen Allen,Virginia
45433,Dayton,Ohio
53076,Richfield,Wisconsin
25422,Great Cacapon,West Virginia
79789,Wink,Texas
63137,Saint Louis,Missouri
62082,Roodhouse,Illinois
98944,Sunnyside,Washington
69335,Bingham,Nebraska
65083,Ulman,Missouri
17611,Lancaster,Pennsylvania
25064,Dunbar,West Virginia
87112,Albuquerque,New Mexico
62034,Glen Carbon,Illinois
35579,Oakman,Alabama
58363,Perth,North Dakota
36318,Coffee Springs,Alabama
83645,Midvale,Idaho
27053,Westfield,North Carolina
76577,Thorndale,Texas
23888,Wakefield,Virginia
85638,Tombstone,Arizona
11414,Howard Beach,New York
40619,Frankfort,Kentucky
98408,Tacoma,Washington
45849,Grover Hill,Ohio
48079,Saint Clair,Michigan
95428,Covelo,California
83238,Geneva,Idaho
22309,Alexandria,Virginia
95365,Planada,California
8858,Oldwick,New Jersey
61630,Peoria,Illinois
31735,Cobb,Georgia
98407,Tacoma,Washington
70707,Gonzales,Louisiana
61437,Gladstone,Illinois
99203,Spokane,Washington
57460,Mansfield,South Dakota
54002,Baldwin,Wisconsin
63701,Cape Girardeau,Missouri
97531,Kerby,Oregon
38077,Wynnburg,Tennessee
51432,Aspinwall,Iowa
74748,Kenefic,Oklahoma
84051,Mountain Home,Utah
14905,Elmira,New York
19963,Milford,Delaware
47236,Grammer,Indiana
47940,Darlington,Indiana
74018,Claremore,Oklahoma
15065,Natrona Heights,Pennsylvania
99017,Lamont,Washington
44049,Kipton,Ohio
36028,Dozier,Alabama
27836,Greenville,North Carolina
43787,Stockport,Ohio
88213,Caprock,New Mexico
29594,Tatum,South Carolina
21632,Federalsburg,Maryland
48865,Orleans,Michigan
21766,Little Orleans,Maryland
57438,Faulkton,South Dakota
39047,Brandon,Mississippi
86502,Chambers,Arizona
11968,Southampton,New York
2186,Milton,Massachusetts
14627,Rochester,New York
95963,Orland,California
90076,Los Angeles,California
58448,Hannaford,North Dakota
92593,Temecula,California
44017,Berea,Ohio
44288,Windham,Ohio
75262,Dallas,Texas
88529,El Paso,Texas
42275,Roundhill,Kentucky
61602,Peoria,Illinois
81041,Granada,Colorado
62001,Alhambra,Illinois
29059,Holly Hill,South Carolina
41559,Regina,Kentucky
83709,Boise,Idaho
4112,Portland,Maine
62803,Hoyleton,Illinois
19534,Lenhartsville,Pennsylvania
14730,East Randolph,New York
85042,Phoenix,Arizona
24059,Bent Mountain,Virginia
80527,Fort Collins,Colorado
57719,Box Elder,South Dakota
62269,O Fallon,Illinois
59201,Wolf Point,Montana
44809,Bascom,Ohio
65685,Louisburg,Missouri
98008,Bellevue,Washington
40031,La Grange,Kentucky
45148,Midland,Ohio
4630,East Machias,Maine
49872,Perkins,Michigan
53168,Salem,Wisconsin
85608,Douglas,Arizona
57469,Redfield,South Dakota
60155,Broadview,Illinois
24562,Howardsville,Virginia
83246,Lava Hot Springs,Idaho
32128,Port Orange,Florida
76109,Fort Worth,Texas
35474,Moundville,Alabama
33876,Sebring,Florida
62032,Fillmore,Illinois
62536,Glenarm,Illinois
63839,Cooter,Missouri
42324,Belton,Kentucky
33734,Saint Petersburg,Florida
21105,Maryland Line,Maryland
55957,Millville,Minnesota
29627,Belton,South Carolina
62261,Modoc,Illinois
6858,Norwalk,Connecticut
50330,Des Moines,Iowa
34789,Leesburg,Florida
22405,Fredericksburg,Virginia
80125,Littleton,Colorado
75946,Garrison,Texas
50320,Des Moines,Iowa
99013,Ford,Washington
6792,Torrington,Connecticut
97331,Corvallis,Oregon
49506,Grand Rapids,Michigan
41086,Sparta,Kentucky
97335,Crabtree,Oregon
6062,Plainville,Connecticut
90039,Los Angeles,California
95341,Merced,California
73662,Sayre,Oklahoma
67466,Miltonvale,Kansas
7760,Rumson,New Jersey
60436,Joliet,Illinois
29577,Myrtle Beach,South Carolina
14551,Sodus,New York
63045,Earth City,Missouri
72402,Jonesboro,Arkansas
15639,Hunker,Pennsylvania
54426,Edgar,Wisconsin
96780,Papaaloa,Hawaii
64457,Guilford,Missouri
18235,Lehighton,Pennsylvania
75436,Detroit,Texas
15553,New Baltimore,Pennsylvania
53574,New Glarus,Wisconsin
32828,Orlando,Florida
53221,Milwaukee,Wisconsin
82717,Gillette,Wyoming
5407,South Burlington,Vermont
55083,Stillwater,Minnesota
22742,Sumerduck,Virginia
34224,Englewood,Florida
44258,Medina,Ohio
98248,Ferndale,Washington
77402,Bellaire,Texas
7195,Newark,New Jersey
72529,Cherokee Village,Arkansas
31027,East Dublin,Georgia
83245,Inkom,Idaho
65078,Stover,Missouri
75433,Cumby,Texas
6401,Ansonia,Connecticut
67954,Rolla,Kansas
94926,Rohnert Park,California
73167,Oklahoma City,Oklahoma
91377,Oak Park,California
75706,Tyler,Texas
67521,Brownell,Kansas
49815,Channing,Michigan
52771,Teeds Grove,Iowa
33911,Fort Myers,Florida
59526,Harlem,Montana
33477,Jupiter,Florida
23705,Portsmouth,Virginia
12158,Selkirk,New York
21128,Perry Hall,Maryland
6256,North Windham,Connecticut
25608,Baisden,West Virginia
1226,Dalton,Massachusetts
